language,strategy,model_or_tokenizer,metric_type,num_tokens,fertility,generation_time
en,RegexPreprocessor,xlm-roberta-base,static,53.0,1.4324324324324325,
en,RegexPreprocessor,google/mt5-base,static,60.0,1.6216216216216217,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.732630729675293
en,Baseline_Lower,xlm-roberta-base,static,51.0,1.5454545454545454,
en,Baseline_Lower,google/mt5-base,static,57.0,1.7272727272727273,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7295525074005127
en,BaselinePreprocessor,xlm-roberta-base,static,68.0,1.4782608695652173,
en,BaselinePreprocessor,google/mt5-base,static,77.0,1.673913043478261,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.8046345710754395
en,RegexPreprocessor,xlm-roberta-base,static,74.0,1.510204081632653,
en,RegexPreprocessor,google/mt5-base,static,80.0,1.6326530612244898,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.8156702518463135
en,Baseline_Lower,xlm-roberta-base,static,71.0,1.5434782608695652,
en,Baseline_Lower,google/mt5-base,static,77.0,1.673913043478261,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.8143215179443359
en,BaselinePreprocessor,xlm-roberta-base,static,51.0,1.457142857142857,
en,BaselinePreprocessor,google/mt5-base,static,57.0,1.6285714285714286,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7180018424987793
en,RegexPreprocessor,xlm-roberta-base,static,57.0,1.5405405405405406,
en,RegexPreprocessor,google/mt5-base,static,59.0,1.5945945945945945,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7292113304138184
en,Baseline_Lower,xlm-roberta-base,static,55.0,1.5714285714285714,
en,Baseline_Lower,google/mt5-base,static,57.0,1.6285714285714286,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7390246391296387
en,BaselinePreprocessor,xlm-roberta-base,static,85.0,2.361111111111111,
en,BaselinePreprocessor,google/mt5-base,static,83.0,2.3055555555555554,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.9708518981933594
en,RegexPreprocessor,xlm-roberta-base,static,101.0,1.7118644067796611,
en,RegexPreprocessor,google/mt5-base,static,111.0,1.88135593220339,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.016279935836792
en,Baseline_Lower,xlm-roberta-base,static,87.0,2.4166666666666665,
en,Baseline_Lower,google/mt5-base,static,89.0,2.4722222222222223,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.8435482978820801
en,BaselinePreprocessor,xlm-roberta-base,static,82.0,1.64,
en,BaselinePreprocessor,google/mt5-base,static,83.0,1.66,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.8047950267791748
en,RegexPreprocessor,xlm-roberta-base,static,87.0,1.6730769230769231,
en,RegexPreprocessor,google/mt5-base,static,89.0,1.7115384615384615,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.8108541965484619
en,Baseline_Lower,xlm-roberta-base,static,85.0,1.7,
en,Baseline_Lower,google/mt5-base,static,87.0,1.74,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.8100254535675049
en,BaselinePreprocessor,xlm-roberta-base,static,57.0,1.6764705882352942,
en,BaselinePreprocessor,google/mt5-base,static,54.0,1.588235294117647,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.14923548698425293
en,RegexPreprocessor,xlm-roberta-base,static,59.0,1.3111111111111111,
en,RegexPreprocessor,google/mt5-base,static,66.0,1.4666666666666666,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7362425327301025
en,Baseline_Lower,xlm-roberta-base,static,56.0,1.6470588235294117,
en,Baseline_Lower,google/mt5-base,static,55.0,1.6176470588235294,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7157409191131592
en,BaselinePreprocessor,xlm-roberta-base,static,64.0,1.7297297297297298,
en,BaselinePreprocessor,google/mt5-base,static,66.0,1.7837837837837838,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7368764877319336
en,RegexPreprocessor,xlm-roberta-base,static,71.0,1.7317073170731707,
en,RegexPreprocessor,google/mt5-base,static,73.0,1.7804878048780488,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7372031211853027
en,Baseline_Lower,xlm-roberta-base,static,67.0,1.8108108108108107,
en,Baseline_Lower,google/mt5-base,static,69.0,1.864864864864865,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7235627174377441
en,BaselinePreprocessor,xlm-roberta-base,static,125.0,1.524390243902439,
en,BaselinePreprocessor,google/mt5-base,static,135.0,1.646341463414634,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.8021724224090576
en,RegexPreprocessor,xlm-roberta-base,static,133.0,1.4615384615384615,
en,RegexPreprocessor,google/mt5-base,static,143.0,1.5714285714285714,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.820648193359375
en,Baseline_Lower,xlm-roberta-base,static,124.0,1.5121951219512195,
en,Baseline_Lower,google/mt5-base,static,134.0,1.6341463414634145,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.8461878299713135
en,BaselinePreprocessor,xlm-roberta-base,static,38.0,1.52,
en,BaselinePreprocessor,google/mt5-base,static,39.0,1.56,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7367146015167236
en,RegexPreprocessor,xlm-roberta-base,static,39.0,1.3928571428571428,
en,RegexPreprocessor,google/mt5-base,static,43.0,1.5357142857142858,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.8714170455932617
en,Baseline_Lower,xlm-roberta-base,static,37.0,1.48,
en,Baseline_Lower,google/mt5-base,static,40.0,1.6,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.935492753982544
en,BaselinePreprocessor,xlm-roberta-base,static,50.0,1.3888888888888888,
en,BaselinePreprocessor,google/mt5-base,static,57.0,1.5833333333333333,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.8010938167572021
en,RegexPreprocessor,xlm-roberta-base,static,54.0,1.2857142857142858,
en,RegexPreprocessor,google/mt5-base,static,66.0,1.5714285714285714,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7293014526367188
en,Baseline_Lower,xlm-roberta-base,static,51.0,1.4166666666666667,
en,Baseline_Lower,google/mt5-base,static,60.0,1.6666666666666667,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7338871955871582
en,BaselinePreprocessor,xlm-roberta-base,static,56.0,1.5135135135135136,
en,BaselinePreprocessor,google/mt5-base,static,66.0,1.7837837837837838,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7166435718536377
en,RegexPreprocessor,xlm-roberta-base,static,68.0,1.7,
en,RegexPreprocessor,google/mt5-base,static,75.0,1.875,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7338743209838867
en,Baseline_Lower,xlm-roberta-base,static,65.0,1.7567567567567568,
en,Baseline_Lower,google/mt5-base,static,72.0,1.945945945945946,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7315273284912109
en,BaselinePreprocessor,xlm-roberta-base,static,51.0,1.4166666666666667,
en,BaselinePreprocessor,google/mt5-base,static,57.0,1.5833333333333333,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7213358879089355
en,RegexPreprocessor,xlm-roberta-base,static,56.0,1.4736842105263157,
en,RegexPreprocessor,google/mt5-base,static,66.0,1.736842105263158,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7334389686584473
en,Baseline_Lower,xlm-roberta-base,static,54.0,1.5,
en,Baseline_Lower,google/mt5-base,static,64.0,1.7777777777777777,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7234275341033936
en,BaselinePreprocessor,xlm-roberta-base,static,35.0,1.5909090909090908,
en,BaselinePreprocessor,google/mt5-base,static,38.0,1.7272727272727273,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7170934677124023
en,RegexPreprocessor,xlm-roberta-base,static,39.0,1.6956521739130435,
en,RegexPreprocessor,google/mt5-base,static,43.0,1.8695652173913044,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7223067283630371
en,Baseline_Lower,xlm-roberta-base,static,38.0,1.7272727272727273,
en,Baseline_Lower,google/mt5-base,static,42.0,1.9090909090909092,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7449905872344971
